Date,Geography,DelinquencyRate
2013-04-01,Peterborough,0.31
2013-04-01,Oshawa,0.26
2013-04-01,Toronto,0.21
2013-04-01,Hamilton,0.25
2013-04-01,St. Catharines-Niagara,0.51
2013-04-01,Kitchener-Cambridge-Waterloo,0.27
2013-04-01,Brantford,0.44
2013-04-01,Guelph,0.19
2013-04-01,London,0.33
2013-04-01,Windsor,0.47
2013-04-01,Barrie,0.35
2013-04-01,Greater Sudbury,0.32
2013-04-01,Thunder Bay,0.28
2013-04-01,Winnipeg,0.21
2013-04-01,Regina,0.31
2013-04-01,Saskatoon,0.27
2013-04-01,Calgary,0.43
2013-04-01,Edmonton,0.47
2013-04-01,Kelowna,0.64
2013-04-01,Abbotsford-Mission,0.63
2013-04-01,Vancouver,0.31
2013-04-01,Victoria,0.36
2013-07-01,Canada,0.35
2013-07-01,Newfoundland,0.20
2013-07-01,Prince Edward Island,0.56
2013-07-01,Nova Scotia,0.58
2013-07-01,New Brunswick,0.61
2013-07-01,Québec,0.33
2013-07-01,Ontario,0.28
2013-07-01,Manitoba,0.28
2013-07-01,Saskatchewan,0.30
2013-07-01,Alberta,0.45
2013-07-01,British Columbia,0.42
2013-07-01,St. John's,0.12
2013-07-01,Charlottetown,0.40
2013-07-01,Halifax,0.38
2013-07-01,Moncton,0.57
2013-07-01,Saint John,0.62
2013-07-01,Saguenay,0.24
2013-07-01,Québec City,0.16
2013-07-01,Sherbrooke,0.27
2013-07-01,Trois-Riviéres,0.36
2013-07-01,Montréal,0.32
2013-07-01,Ottawa-Gatineau,0.24
2013-07-01,Kingston,0.29
2013-07-01,Peterborough,0.26
2013-07-01,Oshawa,0.26
2013-07-01,Toronto,0.20
2013-07-01,Hamilton,0.26
2013-07-01,St. Catharines-Niagara,0.53
2013-07-01,Kitchener-Cambridge-Waterloo,0.27
2013-07-01,Brantford,0.42
2013-07-01,Guelph,0.20
2013-07-01,London,0.32
2013-07-01,Windsor,0.44
2013-07-01,Barrie,0.34
2013-07-01,Greater Sudbury,0.32
2013-07-01,Thunder Bay,0.32
2013-07-01,Winnipeg,0.23
2013-07-01,Regina,0.25
2013-07-01,Saskatoon,0.26
2013-07-01,Calgary,0.39
2013-07-01,Edmonton,0.46
2013-07-01,Kelowna,0.58
2013-07-01,Abbotsford-Mission,0.60
2013-07-01,Vancouver,0.31
2013-07-01,Victoria,0.36
2013-10-01,Canada,0.35
2013-10-01,Newfoundland,0.22
2013-10-01,Prince Edward Island,0.58
2013-10-01,Nova Scotia,0.62
2013-10-01,New Brunswick,0.68
2013-10-01,Québec,0.35
2013-10-01,Ontario,0.28
2013-10-01,Manitoba,0.28
