Geography,Household_Type,Total_Households,Owner_Households,Renter_Households,Year
Saskatchewan  ,One-parent family households,38425.0,20585.0,14885.0,2011
Saskatchewan  ,Multiple-family households,6985.0,3680.0,1475.0,2011
Saskatchewan  ,Non-family households3,131925.0,74205.0,55790.0,2011
Saskatchewan  ,One-person households,114600.0,65900.0,47100.0,2011
Saskatchewan  ,Two-or-more-person non-family households,17325.0,8300.0,8690.0,2011
Alberta  ,Total - Household type,1390280.0,1022645.0,357950.0,2011
Alberta  ,Family households2,970950.0,784990.0,177960.0,2011
Alberta  ,One-family households,944490.0,764040.0,174045.0,2011
Alberta  ,Couple family households with children,444085.0,375675.0,65210.0,2011
Alberta  ,Couple family households without children,375690.0,311590.0,63205.0,2011
Alberta  ,One-parent family households,124715.0,76785.0,45635.0,2011
Alberta  ,Multiple-family households,26460.0,20950.0,3915.0,2011
Alberta  ,Non-family households3,419330.0,237650.0,179985.0,2011
Alberta  ,One-person households,341265.0,202330.0,137585.0,2011
Alberta  ,Two-or-more-person non-family households,78065.0,35325.0,42400.0,2011
British Columbia  ,Total - Household type,1764630.0,1234710.0,524995.0,2011
British Columbia  ,Family households2,1184560.0,927690.0,253345.0,2011
British Columbia  ,One-family households,1134700.0,885910.0,245675.0,2011
British Columbia  ,Couple family households with children,486450.0,394470.0,90615.0,2011
British Columbia  ,Couple family households without children,484230.0,395060.0,88560.0,2011
British Columbia  ,One-parent family households,164025.0,96380.0,66500.0,2011
British Columbia  ,Multiple-family households,49855.0,41780.0,7670.0,2011
British Columbia  ,Non-family households3,580070.0,307025.0,271650.0,2011
British Columbia  ,One-person households,497215.0,272415.0,223645.0,2011
British Columbia  ,Two-or-more-person non-family households,82855.0,34610.0,48005.0,2011
Yukon  ,Total - Household type,14115.0,9385.0,4140.0,2011
Yukon  ,Family households2,9100.0,6885.0,1845.0,2011
Yukon  ,One-family households,8855.0,6700.0,1795.0,2011
Yukon  ,Couple family households with children,3545.0,2815.0,600.0,2011
Yukon  ,Couple family households without children,3605.0,2890.0,630.0,2011
Yukon  ,One-parent family households,1700.0,1000.0,565.0,2011
Yukon  ,Multiple-family households,245.0,185.0,45.0,2011
Yukon  ,Non-family households3,5015.0,2500.0,2300.0,2011
Yukon  ,One-person households,4335.0,2295.0,1840.0,2011
Yukon  ,Two-or-more-person non-family households,680.0,200.0,455.0,2011
Northwest Territories  ,Total - Household type,14700.0,7570.0,6975.0,2011
Northwest Territories  ,Family households2,10500.0,6180.0,4215.0,2011
Northwest Territories  ,One-family households,10030.0,5855.0,4080.0,2011
Northwest Territories  ,Couple family households with children,5020.0,3290.0,1700.0,2011
Northwest Territories  ,Couple family households without children,3050.0,1800.0,1230.0,2011
Northwest Territories  ,One-parent family households,1965.0,770.0,1150.0,2011
Northwest Territories  ,Multiple-family households,465.0,320.0,135.0,2011
Northwest Territories  ,Non-family households3,4205.0,1395.0,2760.0,2011
Northwest Territories  ,One-person households,3430.0,1180.0,2205.0,2011
Northwest Territories  ,Two-or-more-person non-family households,775.0,210.0,560.0,2011
Nunavut  ,Total - Household type,8660.0,1820.0,6840.0,2011
Nunavut  ,Family households2,6755.0,1620.0,5135.0,2011
Nunavut  ,One-family households,5860.0,1380.0,4475.0,2011
Nunavut  ,Couple family households with children,3585.0,930.0,2650.0,2011
Nunavut  ,Couple family households without children,930.0,225.0,705.0,2011
Nunavut  ,One-parent family households,1350.0,225.0,1125.0,2011
Nunavut  ,Multiple-family households,905.0,240.0,665.0,2011
Nunavut  ,Non-family households3,1905.0,200.0,1705.0,2011
Nunavut  ,One-person households,1570.0,155.0,1415.0,2011
Nunavut  ,Two-or-more-person non-family households,330.0,40.0,290.0,2011
St. John's  ,Total - Household type,79020.0,55540.0,23480.0,2011
St. John's  ,Family households2,55790.0,44380.0,11410.0,2011
St. John's  ,One-family households,54545.0,43330.0,11215.0,2011
St. John's  ,Couple family households with children,24560.0,21570.0,2980.0,2011
St. John's  ,Couple family households without children,20815.0,16900.0,3910.0,2011
St. John's  ,One-parent family households,9170.0,4850.0,4320.0,2011
St. John's  ,Multiple-family households,1245.0,1050.0,195.0,2011
St. John's  ,Non-family households3,23235.0,11165.0,12070.0,2011
St. John's  ,One-person households,18845.0,9295.0,9550.0,2011
St. John's  ,Two-or-more-person non-family households,4390.0,1865.0,2520.0,2011
Halifax  ,Total - Household type,165155.0,103670.0,61455.0,2011
Halifax  ,Family households2,107645.0,81300.0,26325.0,2011
Halifax  ,One-family households,105440.0,79435.0,25985.0,2011
Halifax  ,Couple family households with children,43650.0,37420.0,6220.0,2011
Halifax  ,Couple family households without children,45220.0,33375.0,11840.0,2011
Halifax  ,One-parent family households,16575.0,8650.0,7920.0,2011
Halifax  ,Multiple-family households,2205.0,1855.0,340.0,2011
Halifax  ,Non-family households3,57510.0,22370.0,35130.0,2011
Halifax  ,One-person households,46785.0,19350.0,27430.0,2011
Halifax  ,Two-or-more-person non-family households,10725.0,3025.0,7700.0,2011
Moncton  ,Total - Household type,58315.0,41185.0,17125.0,2011
Moncton  ,Family households2,39550.0,32125.0,7420.0,2011
Moncton  ,One-family households,38855.0,31510.0,7345.0,2011
Moncton  ,Couple family households with children,15595.0,13855.0,1735.0,2011
Moncton  ,Couple family households without children,17735.0,14445.0,3290.0,2011
Moncton  ,One-parent family households,5525.0,3210.0,2315.0,2011
Moncton  ,Multiple-family households,695.0,620.0,80.0,2011
Moncton  ,Non-family households3,18765.0,9060.0,9705.0,2011
Moncton  ,One-person households,15410.0,7575.0,7830.0,2011
Moncton  ,Two-or-more-person non-family households,3355.0,1480.0,1875.0,2011
Saint John  ,Total - Household type,52130.0,36990.0,15140.0,2011
Saint John  ,Family households2,36455.0,29310.0,7145.0,2011
Saint John  ,One-family households,35710.0,28630.0,7080.0,2011
Saint John  ,Couple family households with children,14790.0,13080.0,1715.0,2011
Saint John  ,Couple family households without children,14650.0,12405.0,2245.0,2011
Saint John  ,One-parent family households,6265.0,3140.0,3125.0,2011
Saint John  ,Multiple-family households,745.0,680.0,65.0,2011
Saint John  ,Non-family households3,15675.0,7680.0,7995.0,2011
Saint John  ,One-person households,13510.0,6680.0,6830.0,2011
Saint John  ,Two-or-more-person non-family households,2170.0,1005.0,1165.0,2011
Saguenay  ,Total - Household type,69485.0,44520.0,24960.0,2011
Saguenay  ,Family households2,45995.0,35245.0,10745.0,2011
Saguenay  ,One-family households,45675.0,34985.0,10685.0,2011
Saguenay  ,Couple family households with children,17845.0,15210.0,2635.0,2011
Saguenay  ,Couple family households without children,21715.0,16670.0,5040.0,2011
Saguenay  ,One-parent family households,6120.0,3105.0,3015.0,2011
Saguenay  ,Multiple-family households,315.0,260.0,55.0,2011
Saguenay  ,Non-family households3,23490.0,9270.0,14220.0,2011
Saguenay  ,One-person households,21550.0,8575.0,12970.0,2011
Saguenay  ,Two-or-more-person non-family households,1940.0,700.0,1245.0,2011
Québec CMA,Total - Household type,345885.0,206470.0,139420.0,2011
Québec CMA,Family households2,211965.0,159180.0,52785.0,2011
Québec CMA,One-family households,210745.0,158295.0,52450.0,2011
Québec CMA,Couple family households with children,83745.0,71645.0,12100.0,2011
Québec CMA,Couple family households without children,97550.0,70720.0,26830.0,2011
Québec CMA,One-parent family households,29455.0,15935.0,13520.0,2011
Québec CMA,Multiple-family households,1220.0,880.0,340.0,2011
Québec CMA,Non-family households3,133920.0,47290.0,86635.0,2011
Québec CMA,One-person households,119575.0,43495.0,76080.0,2011
Québec CMA,Two-or-more-person non-family households,14345.0,3795.0,10555.0,2011
Sherbrooke  ,Total - Household type,91090.0,50010.0,41080.0,2011
Sherbrooke  ,Family households2,54900.0,39040.0,15855.0,2011
Sherbrooke  ,One-family households,54495.0,38725.0,15770.0,2011
Sherbrooke  ,Couple family households with children,20540.0,16615.0,3925.0,2011
Sherbrooke  ,Couple family households without children,25435.0,17860.0,7575.0,2011
Sherbrooke  ,One-parent family households,8515.0,4250.0,4270.0,2011
Sherbrooke  ,Multiple-family households,400.0,315.0,85.0,2011
Sherbrooke  ,Non-family households3,36190.0,10970.0,25225.0,2011
Sherbrooke  ,One-person households,32305.0,9925.0,22385.0,2011
Sherbrooke  ,Two-or-more-person non-family households,3885.0,1050.0,2840.0,2011
Trois-Rivières  ,Total - Household type,70135.0,40710.0,29420.0,2011
Trois-Rivières  ,Family households2,41855.0,31215.0,10635.0,2011
Trois-Rivières  ,One-family households,41620.0,31025.0,10585.0,2011
Trois-Rivières  ,Couple family households with children,14920.0,12560.0,2365.0,2011
Trois-Rivières  ,Couple family households without children,19780.0,14865.0,4905.0,2011
Trois-Rivières  ,One-parent family households,6920.0,3600.0,3320.0,2011
Trois-Rivières  ,Multiple-family households,230.0,190.0,45.0,2011
Trois-Rivières  ,Non-family households3,28285.0,9495.0,18785.0,2011
Trois-Rivières  ,One-person households,25660.0,8620.0,17035.0,2011
Trois-Rivières  ,Two-or-more-person non-family households,2625.0,875.0,1755.0,2011
Montréal  ,Total - Household type,1613290.0,887040.0,726250.0,2011
Montréal  ,Family households2,1018590.0,691790.0,326805.0,2011
Montréal  ,One-family households,1002830.0,679980.0,322855.0,2011
Montréal  ,Couple family households with children,449230.0,338885.0,110345.0,2011
Montréal  ,Couple family households without children,375730.0,258270.0,117460.0,2011
Montréal  ,One-parent family households,177870.0,82830.0,95050.0,2011
Montréal  ,Multiple-family households,15760.0,11810.0,3950.0,2011
Montréal  ,Non-family households3,594695.0,195245.0,399450.0,2011
Montréal  ,One-person households,523450.0,177150.0,346300.0,2011
Montréal  ,Two-or-more-person non-family households,71245.0,18100.0,53145.0,2011
Ottawa - Gatineau  ,Total - Household type,498785.0,338730.0,160055.0,2011
Ottawa - Gatineau  ,Family households2,334130.0,263540.0,70590.0,2011
Ottawa - Gatineau  ,One-family households,327650.0,258170.0,69480.0,2011
Ottawa - Gatineau  ,Couple family households with children,150140.0,128765.0,21380.0,2011
Ottawa - Gatineau  ,Couple family households without children,125465.0,99855.0,25610.0,2011
Ottawa - Gatineau  ,One-parent family households,52045.0,29555.0,22490.0,2011
Ottawa - Gatineau  ,Multiple-family households,6480.0,5370.0,1110.0,2011
Ottawa - Gatineau  ,Non-family households3,164655.0,75185.0,89470.0,2011
Ottawa - Gatineau  ,One-person households,140665.0,66995.0,73670.0,2011
Ottawa - Gatineau  ,Two-or-more-person non-family households,23995.0,8195.0,15800.0,2011
Kingston  ,Total - Household type,65965.0,44220.0,21750.0,2011
Kingston  ,Family households2,43875.0,34275.0,9600.0,2011
Kingston  ,One-family households,43085.0,33620.0,9465.0,2011
Kingston  ,Couple family households with children,17495.0,14850.0,2640.0,2011
Kingston  ,Couple family households without children,19035.0,15200.0,3830.0,2011
Kingston  ,One-parent family households,6555.0,3565.0,2990.0,2011
Kingston  ,Multiple-family households,785.0,655.0,140.0,2011
Kingston  ,Non-family households3,22095.0,9945.0,12150.0,2011
Kingston  ,One-person households,18700.0,8685.0,10020.0,2011
Kingston  ,Two-or-more-person non-family households,3390.0,1260.0,2130.0,2011
Peterborough  ,Total - Household type,48845.0,36015.0,12830.0,2011
Peterborough  ,Family households2,33500.0,27415.0,6075.0,2011
Peterborough  ,One-family households,32890.0,26910.0,5975.0,2011
Peterborough  ,Couple family households with children,12860.0,11240.0,1615.0,2011
Peterborough  ,Couple family households without children,15295.0,12990.0,2305.0,2011
Peterborough  ,One-parent family households,4735.0,2680.0,2055.0,2011
Peterborough  ,Multiple-family households,605.0,505.0,110.0,2011
Peterborough  ,Non-family households3,15350.0,8600.0,6750.0,2011
Peterborough  ,One-person households,12950.0,7515.0,5440.0,2011
Peterborough  ,Two-or-more-person non-family households,2400.0,1090.0,1310.0,2011
Oshawa  ,Total - Household type,129700.0,103215.0,26485.0,2011
Oshawa  ,Family households2,98980.0,84690.0,14295.0,2011
Oshawa  ,One-family households,95580.0,81600.0,13975.0,2011
Oshawa  ,Couple family households with children,47895.0,43635.0,4255.0,2011
Oshawa  ,Couple family households without children,31475.0,27415.0,4055.0,2011
Oshawa  ,One-parent family households,16210.0,10545.0,5660.0,2011
Oshawa  ,Multiple-family households,3410.0,3090.0,315.0,2011
Oshawa  ,Non-family households3,30710.0,18520.0,12190.0,2011
Oshawa  ,One-person households,26460.0,15975.0,10485.0,2011
Oshawa  ,Two-or-more-person non-family households,4255.0,2550.0,1705.0,2011
Toronto  ,Total - Household type,1989690.0,1358620.0,631070.0,2011
Toronto  ,Family households2,1439225.0,1103575.0,335650.0,2011
Toronto  ,One-family households,1356370.0,1031945.0,324430.0,2011
Toronto  ,Couple family households with children,727480.0,598605.0,128880.0,2011
Toronto  ,Couple family households without children,399220.0,304200.0,95015.0,2011
Toronto  ,One-parent family households,229675.0,129140.0,100535.0,2011
Toronto  ,Multiple-family households,82855.0,71630.0,11225.0,2011
Toronto  ,Non-family households3,550465.0,255045.0,295420.0,2011
Toronto  ,One-person households,469760.0,223360.0,246390.0,2011
Toronto  ,Two-or-more-person non-family households,80705.0,31680.0,49025.0,2011
Hamilton  ,Total - Household type,282190.0,201575.0,80615.0,2011
Hamilton  ,Family households2,197555.0,158590.0,38970.0,2011
Hamilton  ,One-family households,192465.0,154120.0,38340.0,2011
Hamilton  ,Couple family households with children,89760.0,77965.0,11790.0,2011
Hamilton  ,Couple family households without children,70915.0,57575.0,13345.0,2011
Hamilton  ,One-parent family households,31785.0,18575.0,13210.0,2011
Hamilton  ,Multiple-family households,5095.0,4470.0,625.0,2011
Hamilton  ,Non-family households3,84625.0,42985.0,41645.0,2011
Hamilton  ,One-person households,75505.0,38590.0,36915.0,2011
Hamilton  ,Two-or-more-person non-family households,9125.0,4395.0,4735.0,2011
St. Catharines - Niagara  ,Total - Household type,160455.0,119545.0,40910.0,2011
St. Catharines - Niagara  ,Family households2,110795.0,91105.0,19690.0,2011
St. Catharines - Niagara  ,One-family households,108580.0,89160.0,19430.0,2011
St. Catharines - Niagara  ,Couple family households with children,44715.0,39355.0,5365.0,2011
St. Catharines - Niagara  ,Couple family households without children,45450.0,38845.0,6600.0,2011
St. Catharines - Niagara  ,One-parent family households,18415.0,10955.0,7465.0,2011
St. Catharines - Niagara  ,Multiple-family households,2215.0,1950.0,260.0,2011
St. Catharines - Niagara  ,Non-family households3,49660.0,28440.0,21220.0,2011
St. Catharines - Niagara  ,One-person households,44435.0,25575.0,18860.0,2011
St. Catharines - Niagara  ,Two-or-more-person non-family households,5220.0,2865.0,2355.0,2011
Kitchener - Cambridge - Waterloo  ,Total - Household type,181495.0,127370.0,54125.0,2011
Kitchener - Cambridge - Waterloo  ,Family households2,130085.0,103150.0,26940.0,2011
Kitchener - Cambridge - Waterloo  ,One-family households,126815.0,100270.0,26540.0,2011
Kitchener - Cambridge - Waterloo  ,Couple family households with children,61650.0,52900.0,8745.0,2011
Kitchener - Cambridge - Waterloo  ,Couple family households without children,46110.0,36560.0,9545.0,2011
Kitchener - Cambridge - Waterloo  ,One-parent family households,19060.0,10805.0,8250.0,2011
Kitchener - Cambridge - Waterloo  ,Multiple-family households,3275.0,2875.0,400.0,2011
Kitchener - Cambridge - Waterloo  ,Non-family households3,51405.0,24225.0,27185.0,2011
Kitchener - Cambridge - Waterloo  ,One-person households,43500.0,20770.0,22730.0,2011
Kitchener - Cambridge - Waterloo  ,Two-or-more-person non-family households,7905.0,3450.0,4460.0,2011
Brantford  ,Total - Household type,52730.0,39040.0,13535.0,2011
Brantford  ,Family households2,37965.0,31015.0,6875.0,2011
Brantford  ,One-family households,36815.0,30005.0,6740.0,2011
Brantford  ,Couple family households with children,16300.0,14270.0,2015.0,2011
Brantford  ,Couple family households without children,13970.0,12055.0,1905.0,2011
Brantford  ,One-parent family households,6545.0,3675.0,2830.0,2011
Brantford  ,Multiple-family households,1145.0,1015.0,135.0,2011
Brantford  ,Non-family households3,14765.0,8025.0,6660.0,2011
Brantford  ,One-person households,13230.0,7305.0,5860.0,2011
Brantford  ,Two-or-more-person non-family households,1530.0,720.0,805.0,2011
Guelph  ,Total - Household type,54870.0,39860.0,15010.0,2011
Guelph  ,Family households2,38555.0,31250.0,7310.0,2011
Guelph  ,One-family households,37335.0,30180.0,7155.0,2011
Guelph  ,Couple family households with children,17730.0,15420.0,2305.0,2011
Guelph  ,Couple family households without children,14290.0,11640.0,2645.0,2011
Guelph  ,One-parent family households,5325.0,3120.0,2210.0,2011
Guelph  ,Multiple-family households,1220.0,1065.0,150.0,2011
Guelph  ,Non-family households3,16310.0,8615.0,7695.0,2011
Guelph  ,One-person households,13640.0,7330.0,6310.0,2011
Guelph  ,Two-or-more-person non-family households,2670.0,1280.0,1390.0,2011
London  ,Total - Household type,195055.0,130080.0,64980.0,2011
London  ,Family households2,130230.0,100850.0,29380.0,2011
London  ,One-family households,128065.0,99005.0,29060.0,2011
London  ,Couple family households with children,56095.0,47870.0,8225.0,2011
London  ,Couple family households without children,50970.0,40365.0,10605.0,2011
London  ,One-parent family households,21000.0,10770.0,10230.0,2011
London  ,Multiple-family households,2170.0,1845.0,320.0,2011
London  ,Non-family households3,64820.0,29225.0,35600.0,2011
London  ,One-person households,55955.0,25940.0,30015.0,2011
London  ,Two-or-more-person non-family households,8865.0,3280.0,5580.0,2011
Windsor  ,Total - Household type,126875.0,92695.0,34175.0,2011
Windsor  ,Family households2,87465.0,71135.0,16330.0,2011
Windsor  ,One-family households,85495.0,69450.0,16045.0,2011
Windsor  ,Couple family households with children,38850.0,34020.0,4830.0,2011
Windsor  ,Couple family households without children,30810.0,26500.0,4315.0,2011
Windsor  ,One-parent family households,15835.0,8935.0,6900.0,2011
Windsor  ,Multiple-family households,1970.0,1685.0,285.0,2011
Windsor  ,Non-family households3,39400.0,21565.0,17840.0,2011
Windsor  ,One-person households,35490.0,19750.0,15745.0,2011
Windsor  ,Two-or-more-person non-family households,3915.0,1815.0,2100.0,2011
Barrie  ,Total - Household type,68495.0,54345.0,14150.0,2011
Barrie  ,Family households2,51785.0,43775.0,8010.0,2011
Barrie  ,One-family households,50325.0,42575.0,7750.0,2011
Barrie  ,Couple family households with children,24340.0,21810.0,2530.0,2011
Barrie  ,Couple family households without children,17695.0,15185.0,2510.0,2011
Barrie  ,One-parent family households,8290.0,5580.0,2705.0,2011
Barrie  ,Multiple-family households,1460.0,1200.0,260.0,2011
Barrie  ,Non-family households3,16710.0,10570.0,6145.0,2011
Barrie  ,One-person households,13920.0,9140.0,4780.0,2011
Barrie  ,Two-or-more-person non-family households,2790.0,1435.0,1360.0,2011
Greater Sudbury / Grand Sudbury  ,Total - Household type,67765.0,46045.0,21685.0,2011
Greater Sudbury / Grand Sudbury  ,Family households2,46160.0,36830.0,9305.0,2011
Greater Sudbury / Grand Sudbury  ,One-family households,45400.0,36165.0,9205.0,2011
Greater Sudbury / Grand Sudbury  ,Couple family households with children,18925.0,16540.0,2370.0,2011
Greater Sudbury / Grand Sudbury  ,Couple family households without children,19270.0,15680.0,3580.0,2011
Greater Sudbury / Grand Sudbury  ,One-parent family households,7200.0,3940.0,3255.0,2011
Greater Sudbury / Grand Sudbury  ,Multiple-family households,765.0,665.0,100.0,2011
Greater Sudbury / Grand Sudbury  ,Non-family households3,21610.0,9220.0,12380.0,2011
Greater Sudbury / Grand Sudbury  ,One-person households,19190.0,8220.0,10965.0,2011
Greater Sudbury / Grand Sudbury  ,Two-or-more-person non-family households,2415.0,1005.0,1415.0,2011
Thunder Bay  ,Total - Household type,52060.0,37510.0,14550.0,2011
Thunder Bay  ,Family households2,33985.0,28105.0,5875.0,2011
Thunder Bay  ,One-family households,33455.0,27640.0,5815.0,2011
Thunder Bay  ,Couple family households with children,13340.0,11810.0,1530.0,2011
Thunder Bay  ,Couple family households without children,14070.0,12170.0,1895.0,2011
Thunder Bay  ,One-parent family households,6055.0,3665.0,2390.0,2011
Thunder Bay  ,Multiple-family households,530.0,465.0,60.0,2011
Thunder Bay  ,Non-family households3,18075.0,9395.0,8675.0,2011
Thunder Bay  ,One-person households,16235.0,8600.0,7635.0,2011
Thunder Bay  ,Two-or-more-person non-family households,1840.0,800.0,1040.0,2011
Winnipeg  ,Total - Household type,291340.0,199200.0,92140.0,2011
Winnipeg  ,Family households2,192270.0,152410.0,39860.0,2011
Winnipeg  ,One-family households,186885.0,148010.0,38880.0,2011
Winnipeg  ,Couple family households with children,84770.0,73365.0,11400.0,2011
Winnipeg  ,Couple family households without children,70370.0,56665.0,13705.0,2011
Winnipeg  ,One-parent family households,31750.0,17970.0,13770.0,2011
Winnipeg  ,Multiple-family households,5385.0,4400.0,985.0,2011
Winnipeg  ,Non-family households3,99075.0,46790.0,52280.0,2011
Winnipeg  ,One-person households,86490.0,41160.0,45340.0,2011
Winnipeg  ,Two-or-more-person non-family households,12580.0,5630.0,6950.0,2011
Regina  ,Total - Household type,85930.0,61155.0,24775.0,2011
Regina  ,Family households2,56875.0,46020.0,10850.0,2011
Regina  ,One-family households,55705.0,45115.0,10590.0,2011
Regina  ,Couple family households with children,23565.0,20540.0,3030.0,2011
Regina  ,Couple family households without children,22670.0,19210.0,3455.0,2011
Regina  ,One-parent family households,9475.0,5365.0,4110.0,2011
Regina  ,Multiple-family households,1160.0,905.0,260.0,2011
Regina  ,Non-family households3,29060.0,15140.0,13925.0,2011
Regina  ,One-person households,24635.0,13015.0,11625.0,2011
Regina  ,Two-or-more-person non-family households,4425.0,2125.0,2300.0,2011
Saskatoon  ,Total - Household type,104290.0,72105.0,32075.0,2011
Saskatoon  ,Family households2,68355.0,54205.0,14075.0,2011
Saskatoon  ,One-family households,66840.0,53195.0,13575.0,2011
Saskatoon  ,Couple family households with children,29770.0,25215.0,4520.0,2011
Saskatoon  ,Couple family households without children,27170.0,22490.0,4670.0,2011
Saskatoon  ,One-parent family households,9900.0,5490.0,4380.0,2011
Saskatoon  ,Multiple-family households,1520.0,1010.0,500.0,2011
Saskatoon  ,Non-family households3,35925.0,17900.0,18000.0,2011
Saskatoon  ,One-person households,28685.0,14975.0,13685.0,2011
Saskatoon  ,Two-or-more-person non-family households,7240.0,2925.0,4315.0,2011
Calgary  ,Total - Household type,464000.0,342855.0,120950.0,2011
Calgary  ,Family households2,319720.0,260920.0,58630.0,2011
Calgary  ,One-family households,309555.0,252180.0,57225.0,2011
Calgary  ,Couple family households with children,154550.0,132345.0,22135.0,2011
Calgary  ,Couple family households without children,114285.0,93080.0,21170.0,2011
Calgary  ,One-parent family households,40720.0,26745.0,13915.0,2011
Calgary  ,Multiple-family households,10165.0,8740.0,1405.0,2011
Calgary  ,Non-family households3,144285.0,81940.0,62315.0,2011
Calgary  ,One-person households,115730.0,68915.0,46800.0,2011
Calgary  ,Two-or-more-person non-family households,28555.0,13020.0,15520.0,2011
Edmonton  ,Total - Household type,450800.0,318260.0,131935.0,2011
Edmonton  ,Family households2,307625.0,243260.0,63840.0,2011
Edmonton  ,One-family households,298930.0,236115.0,62420.0,2011
Edmonton  ,Couple family households with children,139790.0,117145.0,22445.0,2011
Edmonton  ,Couple family households without children,114755.0,92800.0,21910.0,2011
Edmonton  ,One-parent family households,44385.0,26170.0,18065.0,2011
Edmonton  ,Multiple-family households,8690.0,7150.0,1425.0,2011
Edmonton  ,Non-family households3,143175.0,74995.0,68095.0,2011
Edmonton  ,One-person households,116005.0,63645.0,52295.0,2011
Edmonton  ,Two-or-more-person non-family households,27170.0,11350.0,15800.0,2011
Kelowna  ,Total - Household type,74950.0,57095.0,17840.0,2011
Kelowna  ,Family households2,51125.0,42450.0,8655.0,2011
Kelowna  ,One-family households,49780.0,41315.0,8455.0,2011
Kelowna  ,Couple family households with children,18560.0,15965.0,2595.0,2011
Kelowna  ,Couple family households without children,24855.0,21315.0,3535.0,2011
Kelowna  ,One-parent family households,6365.0,4035.0,2325.0,2011
Kelowna  ,Multiple-family households,1340.0,1135.0,205.0,2011
Kelowna  ,Non-family households3,23825.0,14640.0,9180.0,2011
Kelowna  ,One-person households,19955.0,12640.0,7310.0,2011
Kelowna  ,Two-or-more-person non-family households,3870.0,2000.0,1870.0,2011
Abbotsford - Mission  ,Total - Household type,59320.0,44735.0,14550.0,2011
Abbotsford - Mission  ,Family households2,43615.0,35090.0,8495.0,2011
Abbotsford - Mission  ,One-family households,40145.0,32220.0,7900.0,2011
Abbotsford - Mission  ,Couple family households with children,19075.0,15825.0,3240.0,2011
Abbotsford - Mission  ,Couple family households without children,15275.0,13040.0,2235.0,2011
Abbotsford - Mission  ,One-parent family households,5790.0,3355.0,2425.0,2011
Abbotsford - Mission  ,Multiple-family households,3470.0,2875.0,600.0,2011
Abbotsford - Mission  ,Non-family households3,15700.0,9645.0,6050.0,2011
Abbotsford - Mission  ,One-person households,13565.0,8495.0,5065.0,2011
Abbotsford - Mission  ,Two-or-more-person non-family households,2140.0,1145.0,990.0,2011
Vancouver  ,Total - Household type,891310.0,583425.0,307555.0,2011
Vancouver  ,Family households2,596205.0,446240.0,149705.0,2011
Vancouver  ,One-family households,561750.0,417305.0,144225.0,2011
Vancouver  ,Couple family households with children,274205.0,216085.0,58025.0,2011
Vancouver  ,Couple family households without children,202915.0,151595.0,51275.0,2011
Vancouver  ,One-parent family households,84635.0,49630.0,34925.0,2011
Vancouver  ,Multiple-family households,34450.0,28935.0,5480.0,2011
Vancouver  ,Non-family households3,295100.0,137185.0,157850.0,2011
Vancouver  ,One-person households,250630.0,121830.0,128740.0,2011
Vancouver  ,Two-or-more-person non-family households,44475.0,15355.0,29110.0,2011
Victoria  ,Total - Household type,153395.0,99915.0,53360.0,2011
Victoria  ,Family households2,93250.0,71390.0,21765.0,2011
Victoria  ,One-family households,91080.0,69475.0,21520.0,2011
Victoria  ,Couple family households with children,33150.0,26895.0,6225.0,2011
Victoria  ,Couple family households without children,44610.0,35025.0,9575.0,2011
Victoria  ,One-parent family households,13320.0,7560.0,5720.0,2011
Victoria  ,Multiple-family households,2170.0,1915.0,245.0,2011
Victoria  ,Non-family households3,60145.0,28525.0,31595.0,2011
Victoria  ,One-person households,51165.0,24970.0,26185.0,2011
Victoria  ,Two-or-more-person non-family households,8980.0,3555.0,5410.0,2011
End of worksheet,,,,,2011
Canada  ,Total - Household type,12437470.0,8509785.0,3878500.0,2006
Canada  ,Family households2,8651335.0,6737535.0,1874090.0,2006
Canada  ,One-family households,8421050.0,6550130.0,1837590.0,2006
Canada  ,Couple family households with children,3902390.0,3268070.0,616430.0,2006
Canada  ,Couple family households without children,3242530.0,2581035.0,657110.0,2006
Canada  ,One-parent family households,1276130.0,701025.0,564055.0,2006
Canada  ,Multiple-family households,230285.0,187410.0,36500.0,2006
Canada  ,Non-family households3,3786135.0,1772245.0,2004410.0,2006
Canada  ,One-person households,3327050.0,1590125.0,1728730.0,2006
Canada  ,Two-or-more-person non-family households,459085.0,182115.0,275685.0,2006
Newfoundland and Labrador,Total - Household type,197185.0,155195.0,41670.0,2006
Newfoundland and Labrador,Family households2,152035.0,127885.0,23870.0,2006
Newfoundland and Labrador,One-family households,148430.0,124655.0,23570.0,2006
Newfoundland and Labrador,Couple family households with children,67750.0,59930.0,7685.0,2006
Newfoundland and Labrador,Couple family households without children,59220.0,51990.0,7200.0,2006
Newfoundland and Labrador,One-parent family households,21465.0,12735.0,8680.0,2006
Newfoundland and Labrador,Multiple-family households,3600.0,3230.0,300.0,2006
Newfoundland and Labrador,Non-family households3,45150.0,27315.0,17800.0,2006
Newfoundland and Labrador,One-person households,39830.0,24700.0,15100.0,2006
Newfoundland and Labrador,Two-or-more-person non-family households,5320.0,2610.0,2700.0,2006
Prince Edward Island,Total - Household type,53135.0,39355.0,13715.0,2006
Prince Edward Island,Family households2,38580.0,31910.0,6625.0,2006
Prince Edward Island,One-family households,37990.0,31405.0,6545.0,2006
Prince Edward Island,Couple family households with children,17235.0,15380.0,1835.0,2006
Prince Edward Island,Couple family households without children,14865.0,12540.0,2320.0,2006
